Gasage (yr BP),CO2 (ppmv),sigma mean CO2 (ppmv)
3787602.0,2296.0,30.0
3829315.0,2270.0,30.0
3845574.0,2400.0,30.0
3862837.0,2391.0,30.0
3878248.0,2468.0,30.0
3894102.0,2458.0,30.0
3922873.0,2581.0,30.0
3929772.0,2595.0,30.0
3940037.0,2736.0,30.0
3949061.0,2607.0,30.0
3982751.0,2763.0,30.0
3999262.0,2771.0,30.0
4007101.0,2832.0,30.0
4021409.0,2831.0,30.0
4028598.0,2757.0,30.0
4043133.0,2765.0,30.0
4050626.0,2805.0,30.0
4065428.0,2796.0,30.0
4072825.0,2856.0,30.0
4088187.0,2845.0,30.0
4095982.0,2747.0,30.0
4104538.0,2826.0,30.0
4113480.0,2835.0,30.0
4132587.0,2749.0,30.0
4142109.0,2649.0,30.0
4151796.0,2716.0,30.0
4159456.0,2764.0,16.0
4164253.0,2717.0,12.0
4174404.0,2734.0,15.0
4179568.0,2718.0,17.0
4185053.0,2746.0,18.0
4195758.0,2737.0,8.0
4201338.0,2712.0,15.0
4207018.0,2738.0,16.0
4219121.0,2686.0,14.0
4225327.0,2664.0,18.0
4232255.0,2706.0,11.0
4245077.0,2677.0,29.0
4251323.0,2683.0,19.0
4257409.0,2708.0,11.0
4262373.0,2700.0,25.0
4266216.0,2654.0,20.0
4271550.0,2553.0,13.0
4279414.0,2521.0,7.0
4288402.0,2482.0,9.0
4291784.0,2425.0,15.0
4310238.0,2197.0,17.0
4321793.0,2272.0,22.0
4338503.0,2115.0,17.0
4343791.0,2076.0,13.0
4359397.0,2098.0,16.0
4374854.0,2075.0,13.0
4390634.0,2003.0,16.0
4406596.0,2017.0,16.0
4422308.0,2013.0,11.0
4438446.0,2020.0,15.0
4453317.0,1991.0,11.0
4472192.0,2011.0,9.0
4484592.0,2035.0,6.0
4495710.0,2081.0,18.0
4506429.0,2017.0,17.0
4517473.0,2012.0,21.0
4527358.0,2049.0,14.0
4537756.0,2019.0,18.0
4548643.0,1984.0,13.0
4560016.0,1933.0,16.0
4571144.0,1925.0,10.0
4577451.0,1991.0,6.0
4582083.0,2043.0,10.0
4587940.0,2033.0,10.0
4592116.0,2083.0,14.0
4602522.0,2024.0,13.0
4612861.0,1955.0,8.0
4624141.0,1907.0,19.0
4635266.0,1944.0,7.0
4645995.0,1999.0,26.0
4652654.0,2052.0,9.0
4656017.0,2100.0,7.0
4666323.0,2081.0,22.0
4677066.0,2044.0,19.0
4688777.0,2034.0,12.0
4700401.0,2055.0,9.0
4707260.0,2065.0,9.0
4712008.0,2155.0,23.0
4718245.0,2187.0,9.0
4722631.0,2292.0,14.0
4728633.0,2327.0,7.0
4732178.0,2437.0,18.0
4738008.0,2439.0,11.0
4740924.0,2456.0,9.0
4749741.0,2412.0,17.0
4759252.0,2331.0,6.0
4769498.0,2328.0,11.0
4779410.0,2366.0,10.0
4788925.0,2391.0,9.0
4794030.0,2365.0,12.0
4797757.0,2313.0,10.0
4803283.0,2208.0,7.0
4807267.0,2188.0,23.0
4816630.0,2238.0,14.0
4825810.0,2234.0,17.0
4833954.0,2273.0,13.0
4841798.0,2314.0,11.0
4849362.0,2314.0,13.0
4856675.0,2312.0,12.0
4863987.0,2330.0,14.0
4871293.0,2329.0,12.0
4878481.0,2313.0,12.0
4885655.0,2371.0,18.0
4893021.0,2420.0,2.0
4897198.0,2409.0,4.0
4900263.0,2528.0,25.0
4904949.0,2493.0,27.0
4907340.0,2426.0,6.0
4914511.0,2433.0,13.0
4921545.0,2467.0,16.0
4928638.0,2437.0,14.0
4935931.0,2397.0,19.0
4943004.0,2391.0,12.0
4950241.0,2383.0,20.0
4957257.0,2385.0,14.0
4964441.0,2376.0,16.0
4971876.0,2364.0,21.0
4979660.0,2365.0,17.0
4987374.0,2328.0,8.0
4995268.0,2306.0,5.0
5003048.0,2308.0,10.0
5010840.0,2282.0,17.0
5018614.0,2308.0,14.0
5026376.0,2312.0,8.0
5034189.0,2320.0,16.0
5041772.0,2322.0,14.0
5049118.0,2341.0,8.0
5056842.0,2339.0,11.0
5064837.0,2355.0,18.0
5073124.0,2360.0,21.0
5081177.0,2382.0,9.0
5089410.0,2370.0,8.0
5097850.0,2403.0,7.0
5106523.0,2334.0,10.0
5115124.0,2364.0,14.0
5123638.0,2352.0,5.0
5132047.0,2420.0,8.0
5140331.0,2382.0,10.0
5148478.0,2392.0,12.0
5156508.0,2415.0,13.0
5164210.0,2430.0,5.0
5171550.0,2472.0,22.0
5178760.0,2462.0,26.0
5186005.0,2455.0,11.0
5193291.0,2453.0,13.0
5200734.0,2477.0,14.0
5208218.0,2455.0,8.0
5215745.0,2435.0,7.0
5238018.0,2419.0,14.0
5245709.0,2368.0,8.0
5253370.0,2358.0,12.0
5261070.0,2337.0,7.0
5268958.0,2303.0,8.0
5276987.0,2278.0,6.0
5285167.0,2247.0,19.0
5294034.0,2227.0,10.0
5302905.0,2212.0,12.0
5312014.0,2203.0,5.0
5320788.0,2207.0,9.0
5325925.0,2145.0,5.0
5329876.0,2114.0,22.0
5335544.0,2044.0,6.0
5339322.0,2000.0,8.0
5346682.0,1951.0,7.0
5350436.0,1938.0,8.0
5356951.0,1905.0,17.0
5361785.0,1998.0,12.0
5373345.0,1994.0,8.0
5384408.0,2050.0,9.0
5395138.0,2064.0,7.0
5405838.0,2129.0,13.0
5416538.0,2112.0,7.0
5427402.0,2050.0,8.0
5438449.0,2036.0,12.0
5448860.0,2081.0,8.0
5458649.0,2103.0,16.0
5468301.0,2096.0,16.0
5478067.0,2097.0,8.0
5487708.0,2046.0,19.0
5497201.0,2025.0,16.0
5502307.0,2088.0,7.0
5505825.0,2136.0,9.0
5513811.0,2152.0,5.0
5521111.0,2199.0,5.0
5526816.0,2217.0,14.0
5530209.0,2223.0,9.0
5532460.0,2263.0,9.0
5536194.0,2221.0,11.0
5538087.0,2203.0,3.0
5544796.0,2236.0,11.0
5551583.0,2243.0,22.0
5558423.0,2267.0,12.0
5564070.0,2339.0,15.0
5569233.0,2410.0,14.0
5571987.0,2430.0,8.0
5573851.0,2491.0,21.0
5576571.0,2440.0,15.0
5578382.0,2505.0,8.0
5581546.0,2456.0,13.0
5583060.0,2404.0,9.0
5587777.0,2381.0,12.0
5593160.0,2345.0,10.0
5596368.0,2297.0,4.0
5598726.0,2302.0,7.0
5604366.0,2303.0,15.0
5609656.0,2283.0,9.0
5614507.0,2316.0,12.0
5618881.0,2319.0,12.0
5623105.0,2346.0,15.0
5626556.0,2341.0,9.0
5631349.0,2401.0,21.0
5635357.0,2423.0,5.0
5639279.0,2457.0,18.0
5643106.0,2458.0,5.0
5647244.0,2476.0,15.0
5651343.0,2514.0,17.0
5655390.0,2524.0,17.0
5658956.0,2526.0,10.0
5662453.0,2514.0,7.0
5665886.0,2537.0,8.0
5669184.0,2543.0,16.0
5672395.0,2539.0,7.0
5675487.0,2545.0,16.0
5678849.0,2532.0,9.0
5682041.0,2539.0,12.0
5685342.0,2528.0,11.0
5689301.0,2530.0,6.0
5693146.0,2502.0,4.0
5696839.0,2513.0,13.0
5700672.0,2500.0,13.0
5704635.0,2513.0,13.0
5708621.0,2518.0,12.0
5712614.0,2518.0,13.0
5716334.0,2496.0,5.0
5719747.0,2516.0,17.0
5723155.0,2503.0,10.0
5726699.0,2463.0,11.0
5730535.0,2477.0,7.0
5734758.0,2492.0,11.0
5739130.0,2487.0,4.0
5743647.0,2518.0,18.0
5748060.0,2519.0,7.0
5752340.0,2521.0,13.0
5756545.0,2489.0,10.0
5761129.0,2525.0,5.0
5765991.0,2529.0,11.0
5771151.0,2513.0,11.0
5776539.0,2513.0,11.0
5781964.0,2511.0,6.0
5787424.0,2491.0,5.0
5792806.0,2529.0,11.0
5798331.0,2515.0,18.0
5802105.0,2441.0,17.0
5804018.0,2438.0,9.0
5808140.0,2362.0,3.0
5811187.0,2303.0,6.0
5815465.0,2252.0,16.0
5819283.0,2194.0,8.0
5824545.0,2154.0,11.0
5828363.0,2099.0,12.0
5835743.0,2067.0,5.0
5839588.0,2106.0,6.0
5867208.0,2240.0,9.0
5871719.0,2260.0,14.0
5878887.0,2344.0,5.0
5882794.0,2388.0,10.0
5889409.0,2463.0,18.0
5894254.0,2502.0,4.0
5900401.0,2481.0,6.0
5904888.0,2436.0,8.0
5910195.0,2374.0,8.0
5923835.0,2257.0,11.0
5927855.0,2294.0,13.0
5935612.0,2332.0,3.0
5940468.0,2381.0,9.0
5948638.0,2380.0,11.0
5954365.0,2329.0,6.0
5962216.0,2212.0,18.0
5967911.0,2164.0,9.0
5978036.0,2163.0,15.0
5983298.0,2190.0,10.0
5992182.0,2260.0,11.0
5998146.0,2294.0,14.0
6012552.0,2325.0,13.0
6026008.0,2379.0,8.0
6039492.0,2391.0,11.0
6053032.0,2445.0,7.0
6066259.0,2485.0,17.0
6079793.0,2546.0,12.0
6092473.0,2592.0,18.0
6104295.0,2577.0,5.0
6115510.0,2578.0,21.0
6116006.0,2597.0,12.0
6127620.0,2581.0,14.0
6139428.0,2562.0,4.0
6151406.0,2527.0,11.0
6162991.0,2529.0,6.0
6163566.0,2527.0,9.0
6176096.0,2526.0,11.0
6189538.0,2483.0,10.0
6202838.0,2459.0,3.0
6216515.0,2435.0,8.0
6229507.0,2439.0,28.0
6230550.0,2392.0,8.0
6244970.0,2379.0,10.0
6253979.0,2350.0,3.0
6260475.0,2285.0,9.0
6269694.0,2157.0,5.0
6278301.0,2058.0,9.0
6291396.0,1995.0,8.0
6297699.0,2053.0,9.0
6298661.0,2008.0,5.0
6315263.0,2005.0,18.0
6323569.0,1965.0,15.0
6340775.0,1931.0,16.0
6348811.0,1960.0,15.0
6350090.0,1949.0,18.0
6365216.0,1940.0,7.0
6377144.0,1953.0,19.0
6394183.0,1888.0,10.0
6403723.0,1902.0,5.0
6420746.0,1914.0,10.0
6428567.0,1916.0,11.0
6443008.0,1953.0,13.0
6451507.0,1958.0,10.0
6463769.0,1899.0,20.0
6472549.0,1918.0,10.0
6486124.0,1935.0,7.0
6491911.0,1962.0,4.0
6503485.0,1893.0,12.0
6509471.0,1934.0,7.0
6521043.0,1873.0,5.0
6527090.0,1868.0,10.0
6537303.0,1929.0,18.0
6544387.0,1948.0,10.0
6555244.0,2000.0,5.0
6561327.0,2004.0,7.0
6571811.0,1929.0,7.0
6576542.0,1892.0,18.0
6577220.0,1909.0,9.0
6587641.0,1841.0,3.0
6592938.0,1874.0,11.0
6594119.0,1857.0,4.0
6604636.0,1884.0,10.0
6611183.0,1940.0,10.0
6612159.0,1916.0,8.0
6622822.0,1897.0,15.0
6627966.0,1939.0,21.0
6628776.0,1909.0,10.0
6639375.0,1910.0,12.0
6643204.0,1926.0,13.0
6644081.0,1878.0,8.0
6653219.0,1802.0,11.0
6658365.0,1805.0,11.0
6667534.0,1748.0,10.0
6674099.0,1737.0,14.0
6684153.0,1777.0,7.0
6689155.0,1807.0,7.0
6698193.0,1877.0,2.0
6702963.0,1915.0,9.0
6710707.0,1949.0,10.0
6714579.0,1968.0,7.0
6721509.0,1948.0,6.0
6727614.0,1971.0,10.0
6736961.0,2011.0,10.0
6742294.0,2047.0,7.0
6750284.0,2117.0,6.0
6754065.0,2161.0,8.0
6765307.0,2226.0,8.0
6771523.0,2200.0,6.0
6776007.0,2166.0,9.0
6783282.0,2182.0,14.0
6787416.0,2201.0,15.0
6794554.0,2292.0,8.0
6797352.0,2327.0,9.0
6803126.0,2336.0,6.0
6806276.0,2331.0,12.0
6812257.0,2258.0,12.0
6816699.0,2279.0,13.0
6823437.0,2213.0,9.0
6827401.0,2191.0,10.0
6834579.0,2202.0,17.0
6838288.0,2227.0,6.0
6844237.0,2256.0,17.0
6847581.0,2244.0,13.0
6852948.0,2218.0,8.0
6856799.0,2206.0,7.0
6862691.0,2206.0,14.0
6865818.0,2226.0,10.0
6871540.0,2227.0,11.0
6874455.0,2230.0,12.0
6880004.0,2267.0,10.0
6883001.0,2277.0,13.0
6888099.0,2276.0,11.0
6891578.0,2307.0,17.0
6896933.0,2321.0,13.0
6899515.0,2323.0,15.0
6904747.0,2358.0,10.0
6907364.0,2365.0,5.0
6912218.0,2393.0,11.0
6914677.0,2384.0,12.0
6919680.0,2394.0,20.0
6923183.0,2436.0,6.0
6928325.0,2393.0,13.0
6930771.0,2385.0,21.0
6935740.0,2437.0,21.0
6938213.0,2378.0,8.0
6942803.0,2393.0,10.0
6945368.0,2405.0,7.0
6949491.0,2393.0,9.0
6952593.0,2398.0,14.0
6957323.0,2368.0,6.0
6959819.0,2387.0,15.0
6964349.0,2381.0,15.0
6966448.0,2381.0,13.0
6970903.0,2394.0,10.0
6973425.0,2384.0,11.0
6977467.0,2399.0,13.0
6980390.0,2410.0,8.0
6985055.0,2409.0,19.0
6987532.0,2418.0,7.0
6992158.0,2389.0,10.0
6994390.0,2390.0,7.0
6998647.0,2397.0,8.0
7001037.0,2372.0,6.0
7004850.0,2367.0,7.0
7008148.0,2366.0,5.0
7012685.0,2354.0,10.0
7015245.0,2325.0,5.0
7019931.0,2309.0,10.0
7022009.0,2322.0,8.0
7027343.0,2322.0,16.0
7030100.0,2306.0,3.0
7034685.0,2334.0,13.0
7037961.0,2323.0,11.0
7042505.0,2328.0,5.0
7045818.0,2335.0,14.0
7050533.0,2340.0,5.0
7052439.0,2351.0,17.0
7057270.0,2372.0,13.0
7060532.0,2377.0,16.0
7064930.0,2361.0,18.0
7067107.0,2360.0,9.0
7073107.0,2388.0,8.0
7076437.0,2335.0,15.0
7081997.0,2336.0,10.0
7084134.0,2331.0,10.0
7089592.0,2348.0,11.0
7094538.0,2314.0,9.0
7099095.0,2305.0,10.0
7104565.0,2270.0,7.0
7109834.0,2249.0,6.0
7113990.0,2254.0,3.0
7120215.0,2241.0,15.0
7122437.0,2240.0,14.0
7133125.0,2239.0,5.0
7140656.0,2276.0,16.0
7144038.0,2271.0,20.0
7151157.0,2231.0,6.0
7155654.0,2276.0,6.0
7163102.0,2136.0,7.0
7165859.0,2105.0,17.0
7173483.0,1984.0,12.0
7179555.0,1899.0,11.0
7187783.0,1935.0,16.0
7192872.0,2008.0,8.0
7200873.0,2120.0,8.0
7205908.0,2170.0,9.0
7214075.0,2192.0,12.0
7216899.0,2190.0,13.0
7225058.0,2161.0,20.0
7229946.0,2121.0,7.0
7237802.0,2125.0,18.0
7241420.0,2140.0,12.0
7249754.0,2105.0,4.0
7254744.0,2115.0,13.0
7262496.0,2111.0,11.0
7265769.0,2114.0,8.0
7278985.0,2101.0,16.0
7285939.0,2102.0,8.0
7289875.0,2111.0,8.0
7298369.0,2100.0,10.0
7302603.0,2122.0,17.0
7309083.0,2102.0,7.0
7311842.0,2107.0,3.0
7318610.0,2116.0,4.0
7323218.0,2137.0,19.0
7329935.0,2081.0,12.0
7333290.0,2077.0,8.0
7340222.0,2106.0,10.0
7344626.0,2161.0,18.0
7351346.0,2147.0,7.0
7354099.0,2179.0,8.0
7361073.0,2172.0,14.0
7365222.0,2131.0,17.0
7372698.0,2069.0,16.0
7376601.0,2045.0,15.0
7385810.0,1917.0,9.0
7391746.0,1856.0,3.0
7401065.0,1854.0,24.0
7404609.0,1834.0,24.0
7413299.0,1848.0,21.0
7418741.0,1891.0,13.0
7426447.0,1886.0,27.0
7430622.0,1873.0,7.0
7439591.0,1882.0,9.0
7445231.0,1890.0,9.0
7456710.0,1873.0,12.0
7466199.0,1902.0,4.0
7471770.0,1879.0,3.0
7479402.0,1880.0,13.0
7483369.0,1875.0,8.0
7492629.0,1887.0,13.0
7498142.0,1902.0,18.0
7507064.0,1921.0,16.0
7510363.0,1913.0,14.0
7519739.0,1935.0,19.0
7525659.0,1975.0,13.0
7534891.0,1954.0,3.0
7539347.0,2039.0,18.0
7551146.0,1990.0,17.0
7555868.0,2033.0,15.0
7565662.0,2081.0,20.0
7568507.0,2094.0,14.0
7577855.0,2136.0,22.0
7583624.0,2184.0,23.0
7591357.0,2227.0,15.0
7595619.0,2269.0,14.0
7598782.0,2230.0,7.0
7601083.0,2254.0,18.0
7605161.0,2256.0,23.0
7609399.0,2227.0,12.0
7618645.0,2166.0,8.0
7621660.0,2147.0,11.0
7631018.0,2140.0,19.0
7637706.0,2199.0,2.0
7646769.0,2239.0,21.0
7651818.0,2229.0,9.0
7655866.0,2337.0,31.0
7658515.0,2294.0,27.0
7661885.0,2321.0,14.0
7668089.0,2306.0,9.0
7677472.0,2249.0,16.0
7681173.0,2238.0,5.0
7690614.0,2216.0,4.0
7696514.0,2259.0,9.0
7705991.0,2306.0,21.0
7710207.0,2296.0,18.0
7715193.0,2363.0,16.0
7718127.0,2342.0,16.0
7721753.0,2397.0,19.0
7724746.0,2439.0,11.0
7727380.0,2465.0,22.0
7729956.0,2439.0,21.0
7732498.0,2460.0,24.0
7736845.0,2378.0,15.0
7740441.0,2392.0,10.0
7749588.0,2384.0,23.0
7755380.0,2417.0,9.0
7763323.0,2453.0,4.0
7767827.0,2489.0,6.0
7776818.0,2473.0,20.0
7782328.0,2525.0,7.0
7790580.0,2549.0,5.0
7793675.0,2547.0,11.0
7801889.0,2544.0,24.0
7807194.0,2525.0,9.0
7815628.0,2572.0,6.0
7818867.0,2515.0,7.0
7827285.0,2574.0,7.0
7831985.0,2550.0,11.0
7842618.0,2609.0,25.0
7850341.0,2558.0,7.0
7855191.0,2597.0,2.0
7861896.0,2622.0,26.0
7865633.0,2643.0,14.0
7873555.0,2694.0,13.0
7878036.0,2660.0,7.0
7884792.0,2572.0,15.0
7886919.0,2570.0,27.0
7894940.0,2386.0,8.0
7899530.0,2355.0,30.0
7906394.0,2274.0,8.0
7910569.0,2306.0,18.0
7920308.0,2247.0,37.0
7926173.0,2145.0,25.0
7935194.0,2134.0,16.0
7938528.0,2184.0,19.0
7951225.0,2088.0,17.0
7956873.0,2046.0,20.0
7968526.0,1988.0,21.0
7973788.0,1979.0,14.0
7986813.0,2005.0,22.0
8012361.0,1987.0,17.0
8028721.0,1987.0,10.0
8037093.0,2026.0,10.0
8039253.0,2029.0,21.0
8040099.0,2075.0,9.0
8045227.0,2049.0,16.0
8051324.0,2022.0,7.0
8056689.0,2073.0,22.0
